ï»¿dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
9846,1,10.0.0.1,10.0.0.7,6002,6398132,13,242000000,1.3242E10,2,1910,0,0,0,UDP,2,3267,1172,0,0,0,1
9846,1,10.0.0.1,10.0.0.7,6002,6398132,13,242000000,1.3242E10,2,1910,0,0,0,UDP,4,3362,3236,0,0,0,1
9846,1,10.0.0.1,10.0.0.7,6002,6398132,13,242000000,1.3242E10,2,1910,0,0,0,UDP,3,3236,3362,0,0,0,1
9846,1,10.0.0.1,10.0.0.7,6002,6398132,13,242000000,1.3242E10,2,1910,0,0,0,UDP,3,98995016,3381,6384,0,6384,1
9846,1,10.0.0.1,10.0.0.7,6002,6398132,13,242000000,1.3242E10,2,1910,0,0,0,UDP,4,3362,3236,0,0,0,1
9846,1,10.0.0.1,10.0.0.7,6002,6398132,13,242000000,1.3242E10,2,1910,0,0,0,UDP,2,3492,1422,0,0,0,1
9846,1,10.0.0.1,10.0.0.7,6002,6398132,13,242000000,1.3242E10,2,1910,0,0,0,UDP,3,3022,3362,0,0,0,1
9846,1,10.0.0.1,10.0.0.7,6002,6398132,13,242000000,1.3242E10,2,1910,0,0,0,UDP,2,3582,1332,0,0,0,1
9846,1,10.0.0.1,10.0.0.7,6002,6398132,13,242000000,1.3242E10,2,1910,0,0,0,UDP,4,3381,98996058,0,6384,6384,1
9846,1,10.0.0.1,10.0.0.7,6002,6398132,13,242000000,1.3242E10,2,1910,0,0,0,UDP,1,3582,1332,0,0,0,1
9846,1,10.0.0.1,10.0.0.7,6002,6398132,13,242000000,1.3242E10,2,1910,0,0,0,UDP,3,3488,60959458,0,5563,5563,1
9846,1,10.0.0.1,10.0.0.7,6002,6398132,13,242000000,1.3242E10,2,1910,0,0,0,UDP,4,3488,98996058,0,6384,6384,1
9846,1,10.0.0.1,10.0.0.7,6002,6398132,13,242000000,1.3242E10,2,1910,0,0,0,UDP,3,3488,60960524,0,5564,5564,1
